keyword,link,clicks,impressions,ctr(in %),position
dish tv customer care number odisha,https://www.dishtv.in/help/default.aspx,178,1383,12.87,1.74
dishtv.in register mobile number,https://www.dishtv.in/pages/diy/register-your-mobile.aspx,176,515,34.17,2.04
super zing box,https://www.dishtv.in/pages/others/landing-pages/zing-super.connection.aspx,176,767,22.95,4.38
dishtv customer care no,https://www.dishtv.in/pages/contactus/contact-info.aspx,175,7016,2.49,3.26
colors cineplex channel number on dish tv,https://www.dishtv.in/channelguide/,174,576,30.21,1.00
dishtv whatsapp number,https://www.dishtv.in/pages/contactus/contact-info.aspx,174,353,49.29,1.01
dish tv plan channel list,https://www.dishtv.in/pages/packs/single-channel-packages.aspx,173,471,36.73,1.02
setup box,https://www.dishtv.in/pages/welcome/products.aspx,173,12484,1.39,4.61
dish tv hd channel list,https://www.dishtv.in/channelguide/,172,1204,14.29,2.55
dish tv official website,https://www.dishtv.in/,172,556,30.94,1.08
dish tv sports 18 channel number,https://www.dishtv.in/channelguide/top-sports.aspx,172,2085,8.25,2.82
dish tv telugu pack,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,172,395,43.54,1.15
dish tv customer care number karnataka,https://www.dishtv.in/help/default.aspx,171,1083,15.79,1.02
dish tv dth plans,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,171,446,38.34,1.00
dishtv.in register mobile number,https://www.dishtv.in/Pages/RegisterUser.aspx,171,388,44.07,1.03
www.dishtv,https://www.dishtv.in/,171,590,28.98,1.02
dish tv channel guide,https://www.dishtv.in/channelguide/,170,783,21.71,9.64
dishtv.in recharge,https://www.dishtv.in/pages/diy/recharge-now.aspx,170,813,20.91,2.08
dish tv recharge plan for 1 year,https://www.dishtv.in/pages/packs/single-channel-packages.aspx,169,8430,2.00,5.25
www dishtv.in,https://www.dishtv.in/,169,620,27.26,1.00
zing dth,https://www.dishtv.in/Pages/Others/landing-pages/zing-super-campaign.aspx,169,730,23.15,3.36
dish tv recharge plan 1 month with channel list,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,168,3314,5.07,4.07
dish tv recharge plan 6 month tamil pack,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,168,403,41.69,1.04
dishtv recharge offer,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,168,589,28.52,2.04
free dish,https://www.dishtv.in/pages/packs/basic-service-tier-packs.aspx,168,18376,0.91,14.15
dish tv,https://www.dishtv.in/Pages/DIY/Referesh-Your-Account.aspx,167,27691,0.60,2.22
dish tv hd set top box,https://www.dishtv.in/pages/welcome/products.aspx,167,1233,13.54,1.03
dish tv in,https://www.dishtv.in/,167,439,38.04,1.01
dish tv india ltd,https://www.dishtv.in/,167,936,17.84,1.01
dish tv monthly pack price,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,167,539,30.98,1.42
dish tv star sports tamil channel number,https://www.dishtv.in/pages/others/lcn-update.aspx,167,424,39.39,1.25
dishtv offers,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,167,1270,13.15,2.57
recharge dishtv,https://www.dishtv.in/pages/Instant-Recharge-Payment.aspx,167,257,64.98,1.00
free dish customer care number,https://www.dishtv.in/help/default.aspx,166,1490,11.14,1.26
mydishtv,https://www.dishtv.in/pages/login.aspx,166,1091,15.22,1.80
dish tv aastha channel number,https://www.dishtv.in/channelguide/channel-guide.aspx,165,1108,14.89,3.00
dish tv customer,https://www.dishtv.in/help/default.aspx,165,1856,8.89,1.29
dish tv zing super,https://www.dishtv.in/pages/others/landing-pages/zing-super.connection.aspx,165,271,60.89,1.06
zing super dish tv,https://www.dishtv.in/Pages/Others/landing-pages/zing-super-campaign.aspx,165,517,31.91,1.05
dish tv customer care number mumbai,https://www.dishtv.in/pages/contactus/contact-info.aspx,164,1637,10.02,1.09
dish tv customer care number pune,https://www.dishtv.in/pages/contactus/contact-info.aspx,164,1378,11.90,1.02
dishtv packages,https://www.dishtv.in/pages/packs/dish-tv-combos.aspx,164,957,17.14,5.83
